VARIABLE_MAP,NETCDF_NAME,ICARTT_NAME,ICARTT_UNITS,ICARTT_SCALE,ICARTT_FILL,BOOL_INCLUDE,USERFUNC
references/actamerica/variables/B200/AircraftSunAzimuth.json,AircraftSunAzimuth,AircraftSunAzimuth,degs,1,-999999,1,NULL
references/actamerica/variables/B200/AircraftSunElevation.json,AircraftSunElevation,AircraftSunElevation,degs,1,-999999,1,NULL
references/actamerica/variables/B200/Altitude-AGL_GoogleMaps.json,Altitude_AGL,Altitude_AGL,km,1,-999999,1,NULL
references/actamerica/variables/B200/Altitude_AGL.json,Altitude_AGL,Altitude-AGL_GoogleMaps,km,1,-999999,1,NULL
references/actamerica/variables/B200/ALTP.json,ALTP,ALTP,km,1,-999999,1,NULL
references/actamerica/variables/B200/BENZ_MoleFraction_PFP.json,BENZ_MoleFraction_PFP,BENZ_MoleFraction_PFP,ppt,1,-999999,1,NULL
references/actamerica/variables/B200/C2F6_MoleFraction_PFP.json,C2F6_MoleFraction_PFP,C2F6_MoleFraction_PFP,ppt,1,-999999,1,NULL
references/actamerica/variables/B200/C2H2_MoleFraction_PFP.json,C2H2_MoleFraction_PFP,C2H2_MoleFraction_PFP,ppt,1,-999999,1,NULL
references/actamerica/variables/B200/C2H6_MixingRatio_CAMS2.json,C2H6_MixingRatio_CAMS2,C2H6_CAMS2,ppbv,1,-999999,1,NULL
references/actamerica/variables/B200/C2H6_MixingRatio_CAMS2.json,C2H6_MixingRatio_CAMS2,C2H6_MixingRatio_CAMS2,ppbv,1,-999999,1,NULL
references/actamerica/variables/B200/C2H6_MoleFraction_PFP.json,C2H6_MoleFraction_PFP,C2H6_MoleFraction_PFP,ppt,1,-999999,1,NULL
references/actamerica/variables/B200/C3H8_MoleFraction_PFP.json,C3H8_MoleFraction_PFP,C3H8_MoleFraction_PFP,ppt,1,-999999,1,NULL
references/actamerica/variables/B200/CabinPressure.json,CabinPressure,CabinPressure,hPa,1,-999999,1,NULL
references/actamerica/variables/B200/CF4_MoleFraction_PFP.json,CF4_MoleFraction_PFP,CF4_MoleFraction_PFP,ppt,1,-999999,1,NULL
references/actamerica/variables/B200/CH2BrCl_MoleFraction_PFP.json,CH2BrCl_MoleFraction_PFP,CH2BrCl_MoleFraction_PFP,ppt,1,-999999,1,NULL
references/actamerica/variables/B200/CH3I_MoleFraction_PFP.json,CH3I_MoleFraction_PFP,CH3I_MoleFraction_PFP,ppt,1,-999999,1,NULL
references/actamerica/variables/B200/CH4_DryMoleFrac_PICARRO.json,CH4_DryMoleFrac_PICARRO,CH4_DryMoleFrac_PICARRO,ppm,1,-999999,1,NULL
references/actamerica/variables/B200/CH4_DryMoleFrac_PICARRO.json,CH4_DryMoleFrac_PICARRO,CH4_MixingRatio_PICARRO,ppmv,1,-999999,1,NULL
references/actamerica/variables/B200/CH4_MoleFraction_PFP.json,CH4_MoleFraction_PFP,CH4_MoleFraction_PFP,ppb,1,-999999,1,NULL
references/actamerica/variables/B200/CH4C13_MoleFraction_PFP.json,CH4C13_MoleFraction_PFP,CH4C13_MoleFraction_PFP,permil,1,-999999,1,NULL
references/actamerica/variables/B200/CH4C13_MoleFraction_PFP.json,CH4C13_MoleFraction_PFP,CH4C13_PFP,per mil,1,-999999,1,NULL
references/actamerica/variables/B200/CHLF_MoleFraction_PFP.json,CHLF_MoleFraction_PFP,CHLF_MoleFraction_PFP,ppt,1,-999999,1,NULL
references/actamerica/variables/B200/CHLF_MoleFraction_PFP.json,CHLF_MoleFraction_PFP,CLHF_MoleFraction_PFP,ppt,1,-999999,1,NULL
references/actamerica/variables/B200/CO_DryMoleFrac_PICARRO.json,CO_MixingRatio_PICARRO,CO_DryMoleFrac_PICARRO,ppm,1,-999999,1,NULL
references/actamerica/variables/B200/CO_DryMoleFrac_PICARRO.json,CO_MixingRatio_PICARRO,CO_MixingRatio_PICARRO,ppmv,1,-999999,1,NULL
references/actamerica/variables/B200/CO_MoleFraction_PFP.json,CO_MoleFraction_PFP,CO_MoleFraction_PFP,ppb,1,-999999,1,NULL
references/actamerica/variables/B200/CO2_DryMoleFrac_PICARRO.json,CO2_MixingRatio_PICARRO,CO2_DryMoleFrac_PICARRO,ppm,1,-999999,1,NULL
references/actamerica/variables/B200/CO2_DryMoleFrac_PICARRO.json,CO2_MixingRatio_PICARRO,CO2_MixingRatio_PICARRO,ppmv,1,-999999,1,NULL
references/actamerica/variables/B200/CO2_MoleFraction_PFP.json,CO2_MoleFraction_PFP,CO2_MoleFraction_PFP,ppm,1,-999999,1,NULL
references/actamerica/variables/B200/CO2C14_MoleFraction_PFP.json,CO2C14_MoleFraction_PFP,CO2C14_MoleFraction_PFP,permil,1,-999999,1,NULL
references/actamerica/variables/B200/CO2C14_MoleFraction_PFP.json,CO2C14_MoleFraction_PFP,CO2C14_PFP,per mil,1,-999999,1,NULL
references/actamerica/variables/B200/Dewpoint.json,Dewpoint,Dewpoint,K,1,-999999,1,NULL
references/actamerica/variables/B200/DIBR_MoleFraction_PFP.json,DIBR_MoleFraction_PFP,DIBR_MoleFraction_PFP,ppt,1,-999999,1,NULL
references/actamerica/variables/B200/DICL_MoleFraction_PFP.json,DICL_MoleFraction_PFP,DICL_MoleFraction_PFP,ppt,1,-999999,1,NULL
references/actamerica/variables/B200/DifferentialPressure.json,DifferentialPressure,DifferentialPressure,hPa,1,-999999,1,NULL
references/actamerica/variables/B200/DriftAngle.json,DriftAngle,DriftAngle,degs,1,-999999,1,NULL
references/actamerica/variables/B200/F113_MoleFraction_PFP.json,F113_MoleFraction_PFP,F113_MoleFraction_PFP,ppt,1,-999999,1,NULL
references/actamerica/variables/B200/F115_MoleFraction_PFP.json,F115_MoleFraction_PFP,F115_MoleFraction_PFP,ppt,1,-999999,1,NULL
references/actamerica/variables/B200/F11B_MoleFraction_PFP.json,F11B_MoleFraction_PFP,F11B_MoleFraction_PFP,ppt,1,-999999,1,NULL
references/actamerica/variables/B200/F125_MoleFraction_PFP.json,F125_MoleFraction_PFP,F125_MoleFraction_PFP,ppt,1,-999999,1,NULL
references/actamerica/variables/B200/F13_MoleFraction_PFP.json,F13_MoleFraction_PFP,F13_MoleFraction_PFP,ppt,1,-999999,1,NULL
references/actamerica/variables/B200/F134A_MoleFraction_PFP.json,F134A_MoleFraction_PFP,F134A_MoleFraction_PFP,ppt,1,-999999,1,NULL
references/actamerica/variables/B200/F143a_MoleFraction_PFP.json,F143a_MoleFraction_PFP,F143a_MoleFraction_PFP,ppt,1,-999999,1,NULL
references/actamerica/variables/B200/F152A_MoleFraction_PFP.json,F152A_MoleFraction_PFP,F152A_MoleFraction_PFP,ppt,1,-999999,1,NULL
references/actamerica/variables/B200/F227e_MoleFraction_PFP.json,F227e_MoleFraction_PFP,F227e_MoleFraction_PFP,ppt,1,-999999,1,NULL
references/actamerica/variables/B200/F23_MoleFraction_PFP.json,F23_MoleFraction_PFP,F23_MoleFraction_PFP,ppt,1,-999999,1,NULL
references/actamerica/variables/B200/F236fa_MoleFraction_PFP.json,F236fa_MoleFraction_PFP,F236fa_MoleFraction_PFP,ppt,1,-999999,1,NULL
references/actamerica/variables/B200/F32_MoleFraction_PFP.json,F32_MoleFraction_PFP,F32_MoleFraction_PFP,ppt,1,-999999,1,NULL
references/actamerica/variables/B200/F365m_MoleFraction_PFP.json,F365m_MoleFraction_PFP,F365m_MoleFraction_PFP,ppt,1,-999999,1,NULL
references/actamerica/variables/B200/FC12_MoleFraction_PFP.json,FC12_MoleFraction_PFP,FC12_MoleFraction_PFP,ppt,1,-999999,1,NULL
references/actamerica/variables/B200/Flight_ID.json,Flight_ID,FLIGHT,none,1,-999999,1,NULL
references/actamerica/variables/B200/GPS_ALT.json,GPS_ALT,GPS_ALT,km,1,-999999,1,NULL
references/actamerica/variables/B200/GRD_SPD.json,GRD_SPD,GRD_SPD,m/s,1,-999999,1,NULL
references/actamerica/variables/B200/Ground_Elevation.json,Ground_Elevation,Ground_Elevation,km,1,-999999,1,NULL
references/actamerica/variables/B200/GroundElevation-AMSL_GoogleMaps.json,GroundElevation-AMSL_GoogleMaps,GroundElevation-AMSL_GoogleMaps,km,1,-999999,1,NULL
references/actamerica/variables/B200/H1211_MoleFraction_PFP.json,H1211_MoleFraction_PFP,H1211_MoleFraction_PFP,ppt,1,-999999,1,NULL
references/actamerica/variables/B200/H1301_MoleFraction_PFP.json,H1301_MoleFraction_PFP,H1301_MoleFraction_PFP,ppt,1,-999999,1,NULL
references/actamerica/variables/B200/H2_MoleFraction_PFP.json,H2_MoleFraction_PFP,H2_MoleFraction_PFP,ppb,1,-999999,1,NULL
references/actamerica/variables/B200/H2402_MoleFraction_PFP.json,H2402_MoleFraction_PFP,H2402_MoleFraction_PFP,ppt,1,-999999,1,NULL
,,H2O_MixingRatio,g kg-1,1,-999999,1,NULL
references/actamerica/variables/B200/H2O_MixingRatio_Nav.json,H2O_MixingRatio_Nav,H2O_MixingRatio_Nav,g kg-1,1,-999999,1,NULL
,,H2O_RelativeHumidity,%,1,-999999,1,NULL
references/actamerica/variables/B200/H2O_RelativeHumidity_Nav.json,H2O_RelativeHumidity_Nav,H2O_RelativeHumidity_Nav,%,1,-999999,1,NULL
references/actamerica/variables/B200/H2O_SatVaporPressureIce_Nav.json,H2O_SatVaporPressureIce_Nav,H2O_SatVaporPressureIce,hPa,1,-999999,1,NULL
references/actamerica/variables/B200/H2O_SatVaporPressureIce_Nav.json,H2O_SatVaporPressureIce_Nav,H2O_SatVaporPressureIce_Nav,hPa,1,-999999,1,NULL
references/actamerica/variables/B200/H2O_SatVaporPressureWater_Nav.json,H2O_SatVaporPressureWater_Nav,H2O_SatVaporPressureWater,hPa,1,-999999,1,NULL
